Name;Type;Max.TT;Markup
CDF XTLC 400;Laser;176.00; 
CDF XTLC 600;Laser;238.00;15000.00 PED
CDF XTLC 800;Laser;285.00; 
CDF XTLC 1000;Laser;322.00; 
Cempball-Welch 1/P-1;Plasma;18.00; 
Cempball-Welch 1/P-1, Mentor Edition;Plasma;18.00; 
Cempball-Welch 1/P-2;Plasma;52.00; 
Cempball-Welch 1/P-3;Plasma;80.00; 
Cempball-Welch 1/P-3, Ancient;Plasma;80.00; 
Chaz Wolf (L);Laser; ; 
Cheap A$$ Mk-1 Rifle (L);BLP;0.14; 
Chef's Knife (L);Shortblades;9.00; 
Chikara APPPG-1;Plasma;187.00;4999.00 PED
Chikara APPPG-1, SGA Edition;Plasma;187.00; 
Chikara Bakeneko (L);Power Fist;1400.00; 
Chikara Hanyo (L);Power Fist;1780.00; 
Chikara Mizuchi (L);Power Fist;1600.00; 
Chikara Mudra Mk. 1 (L);Power Fist;10.00; 
Chikara Mudra Mk. 2 (L);Power Fist;15.00; 
Chikara Oni-Go (L);Laser;24.00; 
Chikara Oni-Go, CDF Edition (L);Laser;0.40; 
Chikara Oni-Ichi (L);Laser;5.70; 
Chikara Oni-Ichi, CDF Edition (L);Laser;0.20; 
Chikara Oni-Ni (L);Laser;13.40;143.00%
Chikara Oni-Ni, CDF Edition (L);Laser;0.20; 
Chikara Oni-Roku (L);Laser;32.00; 
Chikara Oni-Roku, CDF Edition (L);Laser;0.40; 
Chikara Oni-Roku, E.L.M Edition (L);Laser;1.00;550.00%
Chikara Oni-Roku, MM Edition (L);Laser; ; 
Chikara Oni-San (L);Laser;18.00;105.00%
Chikara Oni-San, CDF Edition (L);Laser;0.20; 
Chikara Oni-Shi (L);Laser;20.00;115.00%
Chikara Oni-Shi, CDF Edition (L);Laser;0.40; 
Chikara Oni-Shichi (L);Laser;39.00; 
Chikara Oni-Shichi, CDF Edition (L);Laser;0.40; 
Chikara Vamachara Mk. 1 (L);Laser;3.00; 
Chikara Vamachara Mk. 2 (L);Laser;3.20; 
ClericDagger 1A;Shortblades;15.00; 
ClericDagger 1B;Shortblades;18.00; 
ClericDagger 1C;Shortblades;24.00; 
ClericDagger 2A;Shortblades;29.00; 
ClericDagger 2B;Shortblades;35.00; 
ClericDagger 2C;Shortblades;40.00; 
ClericDagger 3A;Shortblades;42.00; 
ClericDagger 3B;Shortblades;65.00; 
ClericDagger 3C;Shortblades;75.00; 
Cochran LP1 (L);Laser;8.00; 
Cochran LP3 (L);Laser;18.00; 
Cochran LP5 (L);Laser;25.00; 
Cochran LP7 (L);Laser;35.00; 
Cochran LP9 (L);Laser;40.00;150.00%
Cochran LP10 (L) Adapted;Laser;200.00; 
Cochran LR3 (L);Laser;18.00; 
Cochran LR5 (L);Laser;25.00; 
Cochran LR7 (L);Laser;35.00; 
Cochran LR9 (L);Laser;40.00;160.00%
Cochran LR10 (L) Adapted;Laser;200.00; 
Cochran P1 (L);BLP;8.00; 
Cold-ir;Laser;124.00; 
Combustive Attack Chip 1 (L);Pyro;8.00;116.00%
Combustive Attack Chip 2 (L);Pyro;19.50; 
Combustive Attack Chip 3 (L);Pyro;31.00; 
Combustive Attack Chip 4 (L);Pyro;41.50; 
Combustive Attack Chip 4, First Gen;Pyro;58.00; 
Combustive Attack Chip 5 (L);Pyro;54.50; 
Combustive Attack Chip 5, First Gen;Pyro;79.00; 
Combustive Attack Chip 6 (L);Pyro;66.00; 
Combustive Attack Chip 6, First Gen;Pyro;112.00; 
Combustive Attack Chip 7 (L);Pyro;74.50;108.00%
Combustive Attack Chip 8 (L);Pyro;94.50; 
Combustive Attack Chip 8, First Gen;Pyro;212.00; 
Combustive Attack Nanochip 1;Pyro;25.00; 
Combustive Attack Nanochip 1 (L);Pyro;25.00;110.00%
Combustive Attack Nanochip 2;Pyro;35.00; 
Combustive Attack Nanochip 2 (L);Pyro;33.00; 
Combustive Attack Nanochip 3;Pyro;37.00; 
Combustive Attack Nanochip 3 (L);Pyro;35.00;125.00%
Combustive Attack Nanochip 4;Pyro;38.00;330.00 PED
Combustive Attack Nanochip 4 (L);Pyro;37.00; 
Combustive Attack Nanochip 4, Adjusted (L);Pyro;44.00;0.00%
Combustive Attack Nanochip 5;Pyro;79.00; 
Combustive Attack Nanochip 5 (L);Pyro;54.50;109.00%
Combustive Attack Nanochip 5, TEN Edition;Pyro;82.00; 
Combustive Attack Nanochip 6;Pyro;112.00; 
Combustive Attack Nanochip 6 (L);Pyro;66.00;105.16%
Combustive Attack Nanochip 7;Pyro;160.00;1100.00 PED
Combustive Attack Nanochip 7 (L);Pyro;74.50; 
Combustive Attack Nanochip 8;Pyro;212.00; 
Combustive Attack Nanochip 8 (L);Pyro;94.50; 
Combustive Attack Nanochip 9 (L);Pyro;100.00; 
Combustive Attack Nanochip 10 (L);Pyro;104.00; 
Combustive Strike Chip 1 (L);Pyro;23.00;200.00%
Combustive Strike Chip 2 (L);Pyro;25.50; 
Combustive Strike Chip 3 (L);Pyro;28.00; 
Combustive Strike Chip 4 (L);Pyro;30.50; 
Combustive Strike Chip 5 (L);Pyro;33.30;107.00%
Combustive Strike Chip 6 (L);Pyro;35.80;180.00%
Combustive Strike Chip 7 (L);Pyro;38.50; 
Combustive Strike Chip 8;Pyro;119.00; 
Combustive Strike Chip 8 (L);Pyro;41.00; 
Combustive Strike Nanochip (L);Pyro;23.00; 
Company Sub-Zero Sniper Rifle Mk I(L);BLP;2.00; 
Confiscated Duster Slicer;Shortblades;5.00; 
Corrosive Attack Chip 1 (L);Pyro;9.00;116.66%
Corrosive Attack Chip 2 (L);Pyro;20.00; 
Corrosive Attack Chip 3 (L);Pyro;22.00; 
Corrosive Attack Chip 3, Mentor Edition;Pyro;26.00;900.00 PED
Corrosive Attack Chip 4 (L);Pyro;13.00; 
Corrosive Attack Chip 5 (L);Pyro;18.00; 
Corrosive Attack Chip 6 (L);Pyro;23.00; 
Corrosive Attack Chip 7 (L);Pyro;29.50;110.00%
Corrosive Attack Nanochip 1;Pyro;9.00; 
Corrosive Attack Nanochip 1 (L);Pyro;9.00;129.00%
Corrosive Attack Nanochip 2;Pyro;20.00;100.00 PED
Corrosive Attack Nanochip 2 (L);Pyro;20.00;115.00%
Corrosive Attack Nanochip 3;Pyro;23.00; 
Corrosive Attack Nanochip 3 (L);Pyro;22.00; 
Corrosive Attack Nanochip 4;Pyro;26.00; 
Corrosive Attack Nanochip 4 (L);Pyro;25.00; 
Corrosive Attack Nanochip 5;Pyro;36.00; 
Corrosive Attack Nanochip 5 (L);Pyro;27.00;100.00%
Corrosive Attack Nanochip 5, Adjusted;Pyro;36.00; 
Corrosive Attack Nanochip 5, TEN Edition;Pyro;50.00;1750.00 PED
Corrosive Attack Nanochip 6;Pyro;46.00; 
Corrosive Attack Nanochip 6 (L);Pyro;29.00; 
Corrosive Attack Nanochip 7;Pyro;59.00; 
Corrosive Attack Nanochip 7 (L);Pyro;32.00; 
Corrosive Attack Nanochip 8;Pyro;72.00; 
Corrosive Attack Nanochip 8 (L);Pyro;36.00; 
Corrosive Attack Nanochip 9;Pyro;85.00; 
Corrosive Attack Nanochip 9 (L);Pyro;42.50; 
Corrosive Attack Nanochip 10;Pyro;98.00; 
Corrosive Attack Nanochip 10 (L);Pyro;49.00; 
Corrosive Attack Nanochip 11;Pyro;112.00; 
Corrosive Attack Nanochip 11 (L);Pyro;56.00; 
Corrosive Attack Nanochip 12 (L);Pyro;60.00; 
Corrosive Attack Nanochip 13 (L);Pyro;65.00; 
Corrosive Attack Nanochip 13, FEN Edition;Pyro;65.00; 
Corrosive Strike Chip 1 (L);Pyro;24.50; 
Corrosive Strike Chip 2 (L);Pyro;25.50;107.00%
Corrosive Strike Chip 3 (L);Pyro;27.00; 
Corrosive Strike Chip 4 (L);Pyro;29.00; 
Corrosive Strike Chip 5 (L);Pyro;30.00;115.00%
Corrosive Strike Nanochip (L);Pyro;24.50; 
CQB-61 (Ammo (High Grade) variant);BLP;223.00; 
CQB-61 (BLP Pack/Universal Ammo variant);BLP;223.00; 
Creator's Edge (L);Longblades;211.00; 
Crusader Sword;Longblades;420.00; 
Cryogenic Attack Chip 1 (L);Cryogenic;6.10;114.00%
Cryogenic Attack Chip 2 (L);Cryogenic;14.00;1138.00%
Cryogenic Attack Chip 3 (L);Cryogenic;24.00; 
Cryogenic Attack Chip 4 (L);Cryogenic;32.50; 
Cryogenic Attack Chip 5 (L);Cryogenic;41.00; 
Cryogenic Attack Chip 6 (L);Cryogenic;49.00; 
Cryogenic Attack Chip 7 (L);Cryogenic;57.00; 
Cryogenic Attack Chip 8 (L);Cryogenic;61.00; 
Cryogenic Attack Nanochip 1;Cryogenic;12.00; 
Cryogenic Attack Nanochip 1 (L);Cryogenic;6.10; 
Cryogenic Attack Nanochip 2;Cryogenic;27.50; 
Cryogenic Attack Nanochip 2 (L);Cryogenic;14.00;110.00%
Cryogenic Attack Nanochip 3;Cryogenic;34.00; 
Cryogenic Attack Nanochip 3 (L);Cryogenic;24.00;105.00%
Cryogenic Attack Nanochip 4;Cryogenic;53.00; 
Cryogenic Attack Nanochip 4 (L);Cryogenic;32.50;105.00%
Cryogenic Attack Nanochip 4, Adjusted (L);Cryogenic;39.00;107.69%
Cryogenic Attack Nanochip 5;Cryogenic;76.00; 
Cryogenic Attack Nanochip 5 (L);Cryogenic;41.00;105.00%
Cryogenic Attack Nanochip 5, TEN Edition;Cryogenic;82.00;800.00 PED
Cryogenic Attack Nanochip 6;Cryogenic;78.00; 
Cryogenic Attack Nanochip 6 (L);Cryogenic;49.00; 
Cryogenic Attack Nanochip 7;Cryogenic;97.30;5000.00 PED
Cryogenic Attack Nanochip 7 (L);Cryogenic;57.00;120.00%
Cryogenic Attack Nanochip 8;Cryogenic;110.60;8000.00 PED
Cryogenic Attack Nanochip 8 (L);Cryogenic;61.00; 
Cryogenic Attack Nanochip 9 (L);Cryogenic;70.00; 
Cryogenic Attack Nanochip 10 (L);Cryogenic;77.00; 
Cryogenic Attack Nanochip, TWEN Edition;Cryogenic;200.00; 
Cryogenic Strike Chip 1 (L);Cryogenic;18.00;1200.00%
Cryogenic Strike Chip 2 (L);Cryogenic;22.00; 
Cryogenic Strike Chip 3 (L);Cryogenic;26.00;115.00%
Cryogenic Strike Chip 4 (L);Cryogenic;29.50;110.00%
Cryogenic Strike Chip 5 (L);Cryogenic;33.40; 
Cryogenic Strike Chip 6 (L);Cryogenic;37.30;110.00%
Cryogenic Strike Chip 7 (L);Cryogenic;41.10;115.00%
Cryogenic Strike Chip 8 (L);Cryogenic;45.00; 
Cryogenic Strike Nanochip (L);Cryogenic;18.00; 
Custom Killed By Death Axe (L);Axes;143.00; 
Dagger of Despair;Shortblades;301.00; 
Dagger of Despair, Adjusted;Shortblades;566.00; 
Dagger of Despair, SGA Edition;Shortblades;301.00; 
Dagger of Destruction (L);Shortblades;163.00; 
Dagger of Doom;Shortblades;256.00; 
Dakhim_G4 (L);BLP;25.00; 
Dakhim_G5 (L);BLP;31.00; 
Dakhim_G6 (L);BLP;37.00; 
Dakhim G2 (L);BLP;25.00; 
Dakhim G3 (L);BLP;40.00; 
Defence Turret;Rocket;1.00; 
Defensive Slicer (L);Longblades;22.00; 
Dehera Immolation Sword;Longblades;140.00; 
Demra Slicer (L);Longblades;17.00; 
DetPil Boa (L);Rocket;214.00; 
DetPil Mamba (L);Rocket;197.00; 
DetPil Python (L);Rocket;170.60; 
DetPil Rv 50 (L);Rocket;32.70;119.27%
DetPil Rv 100 (L);Rocket;52.40;150.00%
DetPil V-Rex 1000 (L);Rocket;111.50; 
DetPil V-Rex 2000 (L);Rocket;131.20; 
DetPil V-Rex 2000, SGA Edition;Rocket;131.20;8500.00 PED
Dirty Shank (L);Shortblades;40.00; 
DOA Boneshatter (L);BLP;222.00;125.00%
DOA Boneshatter, CDF Edition (L);BLP;0.80; 
DOA Foeripper;BLP;205.00;125000.00 PED
DOA Foeripper, SGA Edition;BLP;205.00; 
DOA Incineration Gauntlets (L);Power Fist;608.00; 
DOA Longbolt (L);BLP;420.00; 
DOA Longbolt, CDF Edition (L);BLP;1.00; 
DOA Loudmouth;BLP;162.00;15000.00 PED
DOA Loudmouth, Adjusted;BLP;162.00; 
DOA Loudmouth, SGA Edition;BLP;162.00; 
DOA Mayhem Foeripper, Augmented;BLP;205.00; 
DOA Rockjacker;BLP;162.00;100000.00 PED
DOA Rockjacker, Mentor Edition;BLP;185.00; 
DOA Slugstorm;BLP;337.00;0.00 PED
DOA Slugstorm (L);BLP;289.00;115.00%
DOA Slugstorm, CDF Edition (L);BLP;1.00; 
DOA Smacktalker (L);BLP;452.00;0.00%
DOA Smacktalker, CDF Edition (L);BLP;1.00; 
DOA Strikehammer;BLP;182.00; 
DOA Strikehammer, Improved;BLP;4320.00; 
DOA Strikehammer, Improved, TWEN Edition;BLP;4320.00; 
Dominax Garter Lite (L);Whip;6.00; 
Dominax Original Boiga (L);Whip;170.00;122.00%
Dominax Original Boiga, Adjusted;Whip;210.00;0.00 PED
Dominax Original Boiga, Modified (L);Whip;250.00; 
Dominax Original Cobra;Whip;138.00; 
Dominax Original Cobra, Mentor Edition;Whip;175.00; 
Dominax Original Garter (L);Whip;7.00;220.00%
Dominax Original Garter, Adjusted (L);Whip;7.00; 
Dominax Original Habu (L);Whip;38.00;130.00%
Dominax Original Habu, Improved (L);Whip;80.00; 
Dominax Original Mamba;Whip;2180.00; 
Dominax Original Mamba (L);Whip;175.00;106.00%
Dominax Original  Mamushi (L);Whip;81.00;105.00%
Dominax Original Mamushi, Adjusted (L);Whip;110.00; 
Dominax Original Mamushi, Modified (L);Whip;200.00; 
Dominax Original Moccasin;Whip;20.00; 
Dominax Original Moccasin (L);Whip;20.00;132.00%
Dominax Original Moccasin, E.L.M. Editon (L);Whip;72.00;200.00%
Dominax Original Rattlesnake;Whip;85.00;160.00 PED
Dominax Original Rattlesnake, Mentor Edition;Whip;129.00; 
Dominax Original Viper;Whip;204.00; 
Dominax Original Viper (L);Whip;87.50; 
Duster Scorpion (L);Laser;350.00; 
E.A.C. ExoFist (L);Power Fist;10.00; 
E.A.C. Laspistol (L);Laser;3.00; 
E.A.C. Lasrifle (L);Laser;4.00; 
Eclipse 2000 Plasma Carbine Prototype (L);Plasma;200.00; 
Eclipse 4000 Plasma Carbine Prototype (L);Plasma;400.00; 
Ecotron v.15e (L);Laser;100.00; 
Ecotron v.15e Prototype;Laser;100.00; 
Ecotron v.26b (L);Laser;150.00; 
Ecotron v.26b Prototype;Laser;150.00; 
Ecotron v.42e (L);Laser;200.00; 
Ecotron v.42e Prototype;Laser;200.00; 
Electric Attack Chip 1 (L);Electric;7.00;1500.00%
Electric Attack Chip 1, First Gen;Electric;12.00; 
Electric Attack Chip 2 (L);Electric;11.00; 
Electric Attack Chip 2, First Gen;Electric;30.00; 
Electric Attack Chip 3 (L);Electric;19.00; 
