Name;Armor;Max.TT;Mar. (M);Mar. (F);Found on
Spartacus Arm Guards (L);Spartacus (L);126;310.00%; ;Planet Calypso
Spartacus Back Strap (L);Spartacus (L);181.2; ; ;Planet Calypso
Spartacus Foot Guards (L);Spartacus (L);121.2; ; ;Planet Calypso
Spartacus Gloves (L);Spartacus (L);121.2; ; ;Planet Calypso
Spartacus Groin Guard (L);Spartacus (L);130.8; ; ;Planet Calypso
Spartacus Head Piece (L);Spartacus (L);130.8; ; ;Planet Calypso
Spartacus Helmet (L);Spartacus (L);130.8; ; ;Planet Calypso
Spartacus Shin Guards (L);Spartacus (L);132; ; ;Planet Calypso
Spartacus Shoulder Guard (L);Spartacus (L);181.2; ; ;Planet Calypso
Special Issue arm-guards (L);Special Issue (L);0.52; ; ;Entropia Universe
Special Issue face-guard (L);Special Issue (L);0.34; ; ;Entropia Universe
Special Issue foot guards (L);Special Issue (L);0.27; ; ;Entropia Universe
Special Issue gloves (L);Special Issue (L);0.27; ; ;Entropia Universe
Special Issue harness (L);Special Issue (L);0.74; ; ;Entropia Universe
Special Issue shin-guards (L);Special Issue (L);0.34; ; ;Entropia Universe
Special Issue thigh-guards (L);Special Issue (L);0.52; ; ;Entropia Universe
Special Ops Arm Guards (C,L);Special Ops (C,L);126; ; ;ROCKtropia
Special Ops Foot Guards (C,L);Special Ops (C,L);121.2; ; ;ROCKtropia
Special Ops Gloves (C,L);Special Ops (C,L);121.2; ; ;ROCKtropia
Special Ops Harness (C,L);Special Ops (C,L);181; ; ;ROCKtropia
Special Ops Harness (L);Special Ops (L);181; ; ;ROCKtropia
Special Ops Helmet (C,L);Special Ops (C,L);130.8; ; ;ROCKtropia
Special Ops Shin Guards (C,L);Special Ops (C,L);132; ; ;ROCKtropia
Special Ops Thigh Guards (C,L);Special Ops (C,L);130.8; ; ;ROCKtropia
Spectre Arm Guards (L);Spectre (L);88; ; ;Planet Calypso
Spectre Face Mask (L);Spectre (L);85; ; ;Planet Calypso
Spectre Foot Guards (L);Spectre (L);86; ; ;Planet Calypso
Spectre Gloves (L);Spectre (L);86; ; ;Planet Calypso
Spectre Harness (L);Spectre (L);116; ; ;Planet Calypso
Spectre Shin Guards (L);Spectre (L);90; ; ;Planet Calypso
Spectre Thigh Guards (L);Spectre (L);89; ; ;Planet Calypso
Stealth Arm Guards (C,L);Stealth (C,L);66; ; ;ROCKtropia
Stealth Arm Guards (L);Stealth (L);66; ; ;ROCKtropia
Stealth Foot Guards (C,L);Stealth (C,L);66;160.00 PED;160.00 PED;ROCKtropia
Stealth Foot Guards (L);Stealth (L);66; ; ;ROCKtropia
