Name;Type;Value;Markup;Refines To;Amount;Source;Found on
Chrysoberyl Fasteners;Metal Component;0.1; ; ; ;Crafted;Next Island
Chrysocolla Crystal;Crystal; ; ;Refined Chrysocolla Crystal;1;Looted;Next Island
Chrysoprase Crystal;Crystal; ; ;Refined Chrysoprase Crystal;1;Looted;Next Island
Citrine Crystal;Crystal;0.07;106.00%;Refined Citrine Crystal;1;Looted;Next Island
Clear Crystal;Enmatter;0.1;1500.00%;Lightening Agent;2;Mined;Planet Cyrene
Clear Crystal Texture;Texture Material;0.17; ; ; ;Crafted;Planet Cyrene
CND Bananas;Natural Material;0.01; ; ; ;Looted;Secret Island
Coarse Frieze Fabric Texture;Texture Material;0.14; ; ; ;Crafted;Planet Calypso
Coarse Frote Fabric Texture;Texture Material;0.23; ; ; ;Crafted;Planet Calypso
Cobalt Fragment;Fragment;0.2; ; ; ;Mission;Planet Cyrene
Cobalt Ingot;Refined Ore;0.6;107.00%; ; ;Refined;Planet Calypso
Cobaltium Ingot;Refined Ore;2.001; ; ; ;Refined;Planet Calypso
Cobalt Stone;Ore;0.2;106.70%;Cobalt Ingot;4,3,3,4,3,4;Looted, Mined;Next Island
Cobalt Texture;Texture Material;0.4; ; ; ;Crafted;Planet Calypso
Code Demon Hide;Natural Material;0.3; ; ; ;Looted;ROCKtropia
Code Demon Leather;Refined Material; ; ; ; ;Refined;ROCKtropia
Code Demon Texture;Texture Material;0.15; ; ; ;Crafted;ROCKtropia
Cold Fabric;Construction Material;0.39; ; ; ;Crafted;Planet Calypso
Cold Protective Coating;Construction Material;1; ; ; ;Crafted;Planet Cyrene
Cold THING Blood;Natural Material;1; ;Warm THING Blood;1;Looted;Hunt The THING
Color Enhancing Agent;Refined Enmatter;0.3; ; ; ;Refined;Planet Cyrene
Combibo Leather;Refined Material;0.69; ; ; ;Refined;Planet Calypso
Combibo Leather Texture;Texture Material;0.15; ; ; ;Crafted;Planet Calypso
Combibo Pike;Natural Material;0.04; ; ; ;Looted;Planet Calypso
Combibo Skin;Natural Material;0.23;120.00%;Combibo Leather;3;Looted;Planet Calypso
Combustor;Vehicle Component;0.3; ; ; ;Crafted;Planet Calypso
Common Dung;Natural Material;0.0001; ;Energized Fertilizer;1,1,1;Found;Planet Arkadia
Complete Particle Sample;Electronic Component; ; ; ; ;Crafted;Planet Arkadia
Component Grease;Refined Material;0.15; ; ; ;Refined;Planet Cyrene
Component Widget 1;Electronic Component;0.1;130.00%; ; ;Crafted;Planet Cyrene
