Name;Type;Value;Markup;Refines To;Amount;Source;Found on
Synthetic Mind Essence;Consumable;0.0001;100.00%; ; ;TT;Planet Calypso
Synthetic Rubber;Natural Material;0.57;115.00%; ; ;Looted;Planet Cyrene
System Stabilizer;Electronic Component;0.1; ; ; ;Crafted;Next Island
Tablet Frame;Material;5; ; ; ;Looted;ROCKtropia
Tabtab Cavity;Refined Material;0.05;125.00%; ; ;Refined;Planet Toulan
TabTab Hide;Natural Material;0.01;432.00%;Tabtab Leather;0,6;Looted;Planet Toulan
Tabtab Leather;Refined Material;0.006;400.00%; ; ;Refined;Planet Toulan
TabTab Texture Skin;Texture Material;0.002;275.00%; ; ;Crafted;Planet Toulan
TabTab Tooth;Mission Item;0.05;125.00%; ; ;Looted;Planet Toulan
Tailings;Material;0.0001;0.00 PED;Tailings;1;Looted; 
Tailoring Remnants;Residue;0.01; ; ; ;Crafted;Planet Calypso
Tail Tip;Natural Material;0.05;2500.00%; ; ;Looted;Planet Cyrene
Talent Potion;Mechanical Component;0.03; ; ; ;Crafted;ROCKtropia
Tananite Ore;Ore;0.15; ;Leethiz Ingot;3;Mined;Planet Cyrene
T-Angle;Wood Component;0.22; ; ; ;Crafted;Planet Calypso
Tanhok Amber;Mission Item;5; ; ; ;Looted;Planet Cyrene
Tantardion Horn;Natural Material;0.02; ; ; ;Looted;Planet Calypso
Tantardion Leather;Refined Material;1.8; ; ; ;Refined;Planet Calypso
Tantardion Leather Texture;Texture Material;0.66; ; ; ;Crafted;Planet Calypso
Tantardion Skin;Natural Material;0.6;5266.00%;Tantardion Leather;3;Looted;Planet Calypso
Tantillion Leather;Refined Material;1.35; ; ; ;Refined;Planet Calypso
Tantillion Leather Texture;Texture Material;0.39; ; ; ;Crafted;Planet Calypso
Tantillion Skin;Natural Material;0.45; ;Tantillion Leather;3;Looted;Planet Calypso
Tanzanite Crystal;Crystal;0.01; ;Refined Tanzanite Crystal;1;Looted;Next Island
Taqwa Tincture;Material;10;587.00%; ; ;Looted;Planet Toulan
Tartan Texture;Texture Material;0.12;142.00%; ; ;Crafted;Planet Toulan
Tatfu Tincture;Material;1;500.00%; ; ;Looted;Planet Toulan
Tears Potion;Mechanical Component;0.4;170.00%; ; ;Crafted;ROCKtropia
Tech Gizmo 1;Electronic Component;0.4;120.00%; ; ;Crafted; 
Tech Gizmo 2;Electronic Component;0.4;116.00%; ; ;Crafted; 
Tech Gizmo 3;Electronic Component;0.4; ; ; ;Crafted; 
Tech Gizmo 4;Electronic Component;0.4; ; ; ;Crafted; 
Tech Gizmo 5;Electronic Component;0.4;118.00%; ; ;Crafted; 
Tech Gizmo 6;Electronic Component;0.4;135.00%; ; ;Crafted; 
Tech Gizmo 7;Electronic Component;0.4;142.00%; ; ;Crafted; 
Tech Gizmo 8;Electronic Component;0.4;118.75%; ; ;Crafted; 
Techno Ingot;Refined Ore;0.3; ; ; ;Refined;ROCKtropia
Techno Rock;Ore;0.1;115.00%;Techno Ingot;3;Mined, Looted;ROCKtropia
Tegunestene Hide;Natural Material; ; ;Tegunestene Leather;3;Looted;DSEC-9
Tegunestene Leather;Refined Material; ; ; ; ;Refined;DSEC-9
Teladon Foot;Natural Material;0.6;110.00%; ; ;Looted;Planet Arkadia
Teladon Hide;Natural Material;2; ;Teladon Leather;3;Looted;Planet Arkadia
Teladon Leather;Refined Material;6; ; ; ;Refined;Planet Arkadia
Teladon Leather Texture;Texture Material;1.44; ; ; ;Crafted;Planet Arkadia
Teladon Tail Spike;Natural Material;4; ; ; ;Looted;Planet Arkadia
Teleportation Token; ;1; ; ; ; ; 
Telfium Ingot;Refined Ore;0.42;110.00%; ; ;Refined;Planet Arkadia
Telfium Stones;Ore;0.14; ;Telfium Ingot;3;Mined;Planet Arkadia
Telfium Texture;Texture Material;0.25; ; ; ;Crafted;Planet Arkadia
Tension Straps;Mechanical Component;0.05; ; ; ;Crafted;Planet Arkadia
Terrestrial Gland;Natural Material;0.1; ;Terrestrial Hormone;2;Looted;Planet Cyrene
Terrestrial Hormone;Refined Material;0.32; ; ; ;Refined;Planet Cyrene
Terrudite Ingot;Refined Ore;3.3;106.06%; ; ;Refined;Entropia Universe
Terrudite Stone;Ore;1.1; ;Terrudite Ingot;3;Looted, Mined;Entropia Universe
Terrudite Texture;Texture Material;1.3; ; ; ;Crafted;Planet Calypso
Terrycloth Fabric Texture;Texture Material;0.15; ; ; ;Crafted;Planet Calypso
Texture Enhancer;Other;0.01; ; ; ;Texturing;Planet Calypso
Tezlapod Leather;Refined Material;0.69; ; ; ;Refined;Planet Calypso
Tezlapod Leather Texture;Texture Material;0.67; ; ; ;Crafted;Planet Calypso
Tezlapod Skin;Natural Material;0.23;107.00%;Tezlapod Leather;3;Looted;Planet Calypso
Thawr Hide;Natural Material;0.2;110.00%;Thawr Leather;3;Looted;Planet Toulan
Thawr Horn;Natural Material;0.2;110.00%;Thawr Ivory;4;Looted;Planet Toulan
Thawr Ivory;Refined Material;0.8;110.00%; ; ;Refined;Planet Toulan
Thawr Leather;Refined Material;0.6;110.00%; ; ;Refined;Planet Toulan
Thawr Sinew;Refined Material;0.15;110.00%; ; ;Refined;Planet Toulan
Thawr Texture Skin;Texture Material;0.2;112.00%; ; ;Crafted;Planet Toulan
Thawr Wing;Natural Material;0.03;151.52%;Thawr Sinew;5;Looted;Planet Toulan
The Devils Mickey Finn;Natural Material;1; ; ; ; ;ROCKtropia
Thermodure Plastic Texture;Texture Material;0.28; ; ; ;Crafted;Planet Calypso
Thermodure Robot Plastic;Robot Parts;0.27;100.00%; ; ;Looted;Planet Calypso
THING Blood;Natural Material;1; ; ; ;Looted;Hunt The THING
Thin Wool;Natural Material;0.25;107.00%;Wool Thread;3;Looted;Entropia Universe
Thulite Crystal;Crystal;0.06; ;Refined Thulite Crystal;1;Looted;Next Island
Tiarak Elbow Spur;Natural Material;1.25; ; ; ;Looted;Planet Arkadia
Tiarak Hide;Natural Material;0.2; ;Tiarak Leather;3;Looted;Planet Arkadia
Tiarak Leather;Refined Material;0.6; ; ; ;Refined;Planet Arkadia
Tiarak Leather Texture;Texture Material;0.15; ; ; ;Crafted;Planet Arkadia
Tiarak Nail;Natural Material;0.2;650.00%; ; ;Looted;Planet Arkadia
Tide Claw Droplet;Material;0.4; ;Tide Claw Pristine Element;5;Looted;Planet Cyrene
Tide Claw Pristine Element;Natural Material;1; ; ; ;Looted, Refined;Planet Cyrene
Tier 1 Component;Enhancer Component;0.1;120.00%; ; ;Looted;Planet Calypso
Tier 2 Component;Enhancer Component;0.14;132.00%; ; ;Looted;Planet Calypso
Tier 3 Component;Enhancer Component;0.2;500.00%; ; ;Looted;Planet Calypso
Tier 4 Component;Enhancer Component;0.27;500.00%; ; ;Looted;Planet Calypso
Tier 5 Component;Enhancer Component;0.4;175.00%; ; ;Looted;Planet Calypso
Tier 6 Component;Enhancer Component;0.5;300.00%; ; ;Looted;Planet Calypso
Tier 7 Component;Enhancer Component;0.7;140.00%; ; ;Looted;Planet Calypso
Tier 8 Component;Enhancer Component;1;215.00%; ; ;Looted;Planet Calypso
Tier 9 Component;Enhancer Component;1.4;120.00%; ; ;Looted;Planet Calypso
Tier 10 Component;Enhancer Component;2;106.00%; ; ;Looted;Planet Calypso
Tiger Cloth;Refined Material;1.5; ; ; ;Refined;ROCKtropia
Tiger Hide;Natural Material;0.5; ;Tiger Cloth;3;Looted;ROCKtropia
Tiger's Eye;Crystal;0.08; ;Refined Tigers Eye;1;Looted;Next Island
Tiger Texture;Texture Material;0.3; ; ; ;Crafted;ROCKtropia
Tight Knitted Wool Fabric Texture;Texture Material;0.05; ; ; ;Crafted;Planet Calypso
Time Travel Crystal;Crystal;0.01; ; ; ;Crafted, Looted;Next Island
Tiny Mutant Skull;Natural Material;8; ; ; ;Looted;Planet Calypso
Togolossi Hide;Natural Material;1; ; ; ;Looted;Planet Arkadia
Togolossi Leather;Refined Material;3; ; ; ;Refined;Planet Arkadia
Togolossi Leather Texture;Texture Material;0.72; ; ; ;Crafted;Planet Arkadia
Topaz;Precious Stones;59; ; ; ;Looted;Entropia Universe
Topaz Crystal;Crystal;0.02; ;Refined Topaz;1;Looted;Next Island
Tourmaline;Precious Stones;75; ; ; ;Looted;Entropia Universe
Tourmaline Crystal;Crystal;0.09; ;Refined Tourmaline Crystal;1;Looted;Next Island
Toxic Drakescale;Natural Material;0.02;5000.00%; ; ;Looted;Next Island
TPT Fragment;Mechanical Component;0.01; ; ; ;Crafted;ROCKtropia
Trabecular Adjusted; ;1.19; ; ; ;Looted;Planet Cyrene
Trabecular Augmented; ;1.12; ; ; ;Looted;Planet Cyrene
Trabecular Base; ;1; ; ; ;Looted;Planet Cyrene
Trabecular Improved; ;1.02; ; ; ;Looted;Planet Cyrene
Trabecular Modified; ;1.11; ; ; ;Looted;Planet Cyrene
Trabecular Perfected; ; ; ; ; ;Looted;Planet Cyrene
Traeskeron Leather;Refined Material;0.9; ; ; ;Refined;Planet Calypso
Traeskeron Leather Texture;Texture Material;0.31; ; ; ;Crafted;Planet Calypso
Traeskeron Matriarch Blood Sample;Mission Item;100; ; ; ;Looted;Planet Calypso
Traeskeron Skin;Natural Material;0.3; ;Traeskeron Leather;3;Looted;Planet Calypso
Transformer;Robot Parts;2.17; ; ; ;Looted;Planet Calypso
Transgen Bombardo;Material;1; ;Bombardo Flakes;1;Gardening;Planet Calypso
Transgen Caroot;Material;1; ;Caroot Lubricant;1;Gardening;Planet Calypso
Transgen Haimoros;Material;1; ;Haimoros Gel;1;Gardening;Planet Calypso
Transgen Papplon;Material;1; ;Papplon Spray;1;Gardening;Planet Calypso
Tree Dragon Hide;Natural Material;0.01; ;Tree Dragon Leather;3;Looted;Planet Cyrene
Tree Dragon Leather;Refined Material; ; ; ; ;Refined;Planet Cyrene
Tridenite Ingot;Refined Ore;6;1200.00%; ; ;Refined;Entropia Universe
Tridenite Ore;Ore;2;1350.00%;Tridenite Ingot;3;Looted, Mined;Entropia Universe
Tridenite Texture;Texture Material;2.2; ; ; ;Crafted;Planet Calypso
Triphased Auxiliary Socket;Electronic Component;0.052; ; ; ;Crafted;Entropia Universe
Triphased Holo Module;Electronic Component;0.2;163.00%; ; ;Crafted;Entropia Universe
Triphased Intelligence Module;Electronic Component;0.5;200.00%; ; ;Crafted;Planet Calypso
Triphased Power Systems;Electronic Component;0.04;159.00%; ; ;Crafted;Planet Calypso
Triphased Transmitter;Electronic Component;0.04; ; ; ;Crafted;Planet Calypso
Triphased Wires;Electronic Component;0.12;140.00%; ; ;Crafted;Entropia Universe
Tripudion Leather;Refined Material;0.9; ; ; ;Refined;Planet Calypso
Tripudion Leather Texture;Texture Material;0.34; ; ; ;Crafted;Planet Calypso
