Name;Type;Max.TT;Markup
Imperial Storm Maul (L); ; ; 
Imperial Thunder Maul (L); ; ; 
Imperium Carbine Rank 1 (L);Plasma;20.00; 
Imperium Carbine Rank 3 (L);Plasma;40.00; 
Imperium HK Grunt (L);Laser;385.00; 
Imperium HK Special Ops (L);Laser;445.00; 
Imperium HK Vet (L);Laser;410.00; 
Imperium Issue HK 400 (L);Laser;45.00; 
Imperium Issue HK 500 (L);Laser;45.00; 
Imperium Issue HK 700 (L);Laser;45.00; 
Imperium Issue HK 720 (L);Laser;50.00;117.00%
Imperium Issue HK 800 (L);Laser;50.00;346.00%
Imperium Issue HK 1100 (L);Laser;50.00; 
Imperium Issue HK 1300 (L);Laser;50.00; 
Imperium Issue HK 2000 (L);Laser;55.00; 
Imperium Issue HK 2300 (L);Laser;55.00; 
Imperium Issue HK 2500 (L);Laser;55.00; 
Imperium Issue HK 2900 (L);Laser;60.00; 
Imperium Issue HK 3300 (L);Laser;65.00; 
Imperium Issue HK 3900 (L);Laser;70.00; 
Imperium Issue HK 4600 (L);Laser;72.00; 
Imperium Officer XT;Laser;32.00; 
Imperium Pilot Scorpion Rank 4 (L);Laser;35.00;100.00%
Imperium Pilot Scorpion Rank 5 (L);Laser;35.00; 
Imperium Pilot Scorpion Rank 6 (L);Laser;35.00; 
Imperium Pilot Scorpion Rank 7 (L);Laser;40.00;200.00%
Imperium Pilot Scorpion Rank 8 (L);Laser;40.00; 
Imperium Pilot Scorpion Rank 11 (L);Laser;40.00; 
Imperium Pilot Scorpion Rank 13 (L);Laser;40.00; 
Imperium Pilot Scorpion Rank 16 (L);Laser;45.00; 
Imperium Pilot Scorpion Rank 19 (L);Laser;45.00; 
Imperium Pilot Scorpion Rank 24 (L);Laser;45.00; 
Imperium Pilot Scorpion Rank 27 (L);Laser;50.00; 
Imperium Pilot Scorpion Rank 32 (L);Laser;55.00; 
Imperium Trainee Combat Knife (L);Shortblades;1.50; 
Imperium Trainee Pistol (L);Laser;1.00; 
Imported Assault Shotgun TEN Edition;BLP;120.00;18000.00 PED
Improved MAKO FAL;Longblades;2960.00; 
Improved MANTA;Shortblades;1883.70; 
Initiate's Laser Carbine (L);Laser;4.00; 
Initiate's Laser Pistol (L);Laser;3.00; 
Initiate's Long Blade (L);Longblades;15.00; 
Initiate's Power Fist (L);Power Fist;10.00; 
Initiate's Short Blade (L);Shortblades;9.00; 
Isis Alr.3Li (L);Laser;112.00; 
Isis BL100 (L);BLP;3.40; 
Isis BL100, CDF Edition (L);BLP;0.20;100.00%
Isis BL100E (L);BLP;18.00; 
Isis BL100E, CDF Edition (L);BLP;0.40; 
Isis BL200 (L);BLP;4.80; 
Isis BL200, CDF Edition (L);BLP;0.20;100.00%
Isis BL200E (L);BLP;22.00;2250.00%
Isis BL200E, CDF Edition (L);BLP;0.40; 
Isis BL300 (L);BLP;12.00; 
Isis BL300, CDF Edition (L);BLP;0.20; 
Isis BL300E (L);BLP;32.00;106.25%
Isis BL300E, CDF Edition (L);BLP;0.40; 
Isis BL800;BLP;2180.00;2500.00 PED
Isis BL800 (L);BLP;93.00;105.00%
Isis BL1000 (L);BLP;265.00; 
Isis BL1300 (L);BLP;410.00; 
Isis BL1450 (L);BLP;510.00;135.00%
Isis BL1600 (L);BLP;597.00; 
Isis BL1800;BLP;32672.00; 
Isis BL1950;BLP;362.00; 
Isis BL1950 (L);BLP;362.00; 
Isis CB5;BLP;200.00;183.00 PED
Isis CB5 (L);BLP;3.10;220.00%
Isis CB13;BLP;4556.00; 
Isis CB13 (L);BLP;145.60; 
Isis CB19;BLP;5348.00; 
Isis CB19 (L);BLP;180.00; 
Isis CB20 (L);BLP;89.00; 
Isis CB20, CDF Edition (L);BLP;0.60; 
Isis CB21;BLP;8120.00; 
Isis CB21 (L);BLP;170.00; 
Isis CB24;BLP;9308.00; 
Isis CB24 (L);BLP;190.00;123.00%
Isis CB26;BLP;13664.00;33000.00 PED
Isis CB26 (L);BLP;336.00; 
Isis CB27 (L);BLP;240.00;135.00%
Isis CB27, CDF Edition (L);BLP;0.80; 
Isis CB28 (L);BLP;473.00; 
Isis CB29 (L);BLP;451.00; 
Isis CB32 (L);BLP;400.00; 
Isis CB32, CDF Edition (L);BLP;1.00; 
Isis HL4 (L);Laser;48.00;125.00%
Isis HL4, CDF Edition (L);Laser;0.40; 
Isis HL5 (L);Laser;62.00;1766.00%
Isis HL5, CDF Edition (L);Laser;0.40; 
Isis HL6;Laser;8120.00; 
Isis HL6 (L);Laser;255.00; 
Isis HL8;Laser;10892.00;1750.00 PED
Isis HL8 (L);Laser;299.30; 
Isis HL11;Laser;12476.00; 
Isis HL11 (L);Laser;320.00; 
Isis HL12;Laser;14456.00; 
Isis HL12 (L);Laser;331.00; 
Isis HL14;Laser;15644.00; 
Isis HL14 (L);Laser;350.00; 
Isis HL15;Laser;18020.00; 
Isis HL15 (L);Laser;474.00; 
Isis HL18;Laser;23564.00; 
Isis HL18 (L);Laser;543.00;14000.00%
Isis HL18, SGA Edition;Laser;23564.00; 
Isis HL20 (L);Laser;623.00; 
Isis LBC 1 (L);BLP;11.00; 
Isis LBC 2 (L);BLP;19.50;107.00%
Isis LBC 3 (L);BLP;25.00;108.80%
Isis LBC 4 (L);BLP;32.00;106.00%
Isis LBC 6 (L);BLP;40.00;107.00%
Isis LBC 8 (L);BLP;51.00;108.00%
Isis LBC 10 (L);BLP;56.00; 
Isis LBC 10, Adapted (L);BLP;42.00; 
Isis LBC 13 (L);BLP;65.00;105.00%
Isis LBC 16 (L);BLP;74.00; 
Isis LBC 20 (L);BLP;82.50; 
Isis LBC 25 (L);BLP;102.00; 
Isis LBC 30 (L);BLP;110.00; 
Isis LBP 1 (L);BLP;9.25;112.00%
Isis LBP 2 (L);BLP;12.00; 
Isis LBP 3 (L);BLP;15.50; 
Isis LBP 4 (L);BLP;25.50;103.00%
Isis LBP 6 (L);BLP;31.00;106.50%
Isis LBP 8 (L);BLP;37.00;107.30%
Isis LBP 10 (L);BLP;43.00;110.00%
Isis LBP 10, Adapted (L);BLP;31.00;0.00%
Isis LBP 12 (L);BLP;55.00; 
Isis LBP 16 (L);BLP;62.00;106.30%
Isis LBP 20 (L);BLP;73.00;103.00%
Isis LBP 25 (L);BLP;83.00;104.00%
Isis LBP 30 (L);BLP;93.00;106.00%
Isis LC-35 (L);Laser;155.00;125.00%
Isis LC-35, CDF Edition (L);Laser;0.60; 
Isis LC-35, E.L.M Edition (L);Laser;1.00; 
Isis LC-35, MM Edition (L);Laser;1.00; 
Isis LC-35, RX Edition (L);Laser;1.00; 
Isis LC-55 (L);Laser;189.00;121.00%
Isis LC-55, CDF Edition (L);Laser;0.80; 
Isis LC-60 (L);Laser;225.00;137.00%
Isis LC-60, CDF Edition (L);Laser;0.80; 
Isis LLB 1 (L);Longblades;52.00; 
Isis LLB 2 (L);Longblades;95.50; 
Isis LLB 3 (L);Longblades;122.00; 
Isis LLB 4 (L);Longblades;156.00; 
Isis LLB 6 (L);Longblades;199.00; 
Isis LLB 8 (L);Longblades;260.00; 
Isis LLB 10 (L);Longblades;320.00; 
Isis LLB 13 (L);Longblades;380.00; 
Isis LLB 16 (L);Longblades;440.00; 
Isis LLB 20 (L);Longblades;491.00; 
Isis LLB 25 (L);Longblades;559.00; 
Isis LLB 30 (L);Longblades;628.00;0.00%
Isis LLC 1 (L);Laser;10.50;110.00%
Isis LLC 2 (L);Laser;19.50; 
Isis LLC 2, Merry Edition (L);Laser;15.00; 
Isis LLC 3 (L);Laser;25.00;103.00%
Isis LLC 4 (L);Laser;34.50; 
Isis LLC 6 (L);Laser;47.00;122.00%
Isis LLC 8 (L);Laser;61.00; 
Isis LLC 10 (L);Laser;67.00; 
Isis LLC 10, Adapted (L);Laser;53.00;140.00%
Isis LLC 13 (L);Laser;85.00;116.01%
Isis LLC 16 (L);Laser;93.00;112.04%
Isis LLC 20 (L);Laser;110.00;126.00%
Isis LLC 25 (L);Laser;118.00; 
Isis LLC 30 (L);Laser;128.00;121.00%
Isis LLP 1 (L);Laser;8.00;120.00%
Isis LLP 2 (L);Laser;12.25; 
Isis LLP 3 (L);Laser;14.00;103.00%
Isis LLP 4 (L);Laser;21.00; 
Isis LLP 6 (L);Laser;29.00;115.00%
Isis LLP 8 (L);Laser;33.00;112.00%
Isis LLP 10 (L);Laser;38.50;114.00%
Isis LLP 10, Adapted (L);Laser;28.00; 
Isis LLP 13 (L);Laser;56.00;108.30%
Isis LLP 16 (L);Laser;66.00;104.50%
Isis LLP 20 (L);Laser;81.00;113.00%
Isis LLP 25 (L);Laser;90.00; 
