Name;Type;Value;Markup;Refines To;Amount;Source;Found on
GeoTrek Super Alloy Buttstock;Metal Component;0.95; ; ; ;Crafted;Entropia Universe
GeoTrek Super Alloy EnBolts;Metal Component;1.5;840.00%; ; ;Crafted;Entropia Universe
GeoTrek Super Alloy Talytic Converters;Metal Component;1.2; ; ; ;Crafted;Entropia Universe
GeoTrek Talytic Converters;Metal Component;1;125.00%; ; ;Crafted;Entropia Universe
German Pirate Flag;Vehicle Component;1; ; ; ;Crafted;ROCKtropia
Ghali;Enmatter;0.16;107.88%;Ghali Powder;2;Mined;Planet Toulan
Ghali Powder;Refined Enmatter;0.32;107.88%; ; ;Refined;Planet Toulan
Giant Banana;Natural Material;10; ; ; ;Looted;ROCKtropia
Giant Banana Bunch;Natural Material;100;115.00%; ; ;Looted;ROCKtropia
Gimbals;Metal Component;1;120.00%; ; ;Crafted;Planet Arkadia
Girder Beams;Vehicle Component;0.7; ; ; ;Crafted;Planet Calypso
Glam Ingot;Refined Ore;0.12; ; ; ;Refined;ROCKtropia
Glam Rock;Ore;0.04; ;Glam Ingot;3;Looted, Mined;ROCKtropia
Glitter Spray (Gold);Make Up;17;140.00%; ; ;Looted;Entropia Universe
Glitter Spray (Pink);Make Up;17; ; ; ;Looted;Entropia Universe
Glitter Spray (Royal Blue);Make Up;17;120.00%; ; ;Looted;Entropia Universe
Glitter Spray (Silver);Make Up;17;115.00%; ; ;Looted;Entropia Universe
Glitter Spray (White);Make Up;17;150.00%; ; ;Looted;Entropia Universe
GMC Gamma Hide;Natural Material;1; ;GMC Gamma Leather;3;Looted;Arkadia Moon
GMC Gamma Leather;Refined Material;3; ; ; ;Refined;Arkadia Moon
GMC Gamma Leather Texture;Texture Material;0.72; ; ; ;Crafted;Arkadia Moon
Gokibusagi Skull;Natural Material;33; ; ; ;Looted;Planet Calypso
Golden Chainsaw Gas Cap;Generic Component;0.1; ; ; ;Looted;ROCKtropia
Golden Shaker;Material;2;130.00%; ; ;Looted;ROCKtropia
Gold Ingot;Refined Ore;3;108.00%; ; ;Refined, Looted;Entropia Universe
Gold Stone;Ore;1;150.00%;Aumorphite Ingot;1,2,3;Looted, Mined;Entropia Universe
Gold Texture;Texture Material;1.2; ; ; ;Crafted;Planet Calypso
Golem Droplet;Material;0.2; ;Golem Pristine Element;5;Looted;Planet Cyrene
Golem Pristine Element;Natural Material; ; ; ; ;Looted, Refined;Planet Cyrene
Good Calcium Compound;Refined Material;0.06; ; ; ;Refined;Planet Cyrene
Gorbek Emulsion;Enmatter;0.4; ;Gorbek Tallow;2;Mined;Planet Arkadia
Gorbek Tallow;Refined Enmatter;0.8; ; ; ;Refined;Planet Arkadia
Gorgon Serpent Head;Natural Material;0.01; ; ; ;Looted;Ancient Greece
Gorgon Texture;Texture Material;0.05; ; ; ;Crafted;Next Island
Gosubusagi Blood Sample;Mission Item;150; ; ; ;Looted;Planet Calypso
Gradivore Leather;Refined Material;1.2; ; ; ;Refined;Planet Calypso
Gradivore Leather Texture;Texture Material;0.24; ; ; ;Crafted;Planet Calypso
Gradivore Skin;Natural Material;0.4;150.00%;Gradivore Leather;3;Looted;Planet Calypso
