Name;Type;Value;Markup;Refines To;Amount;Source;Found on
8 Coins Gold;Material;0.1; ; ; ;Looted;Planet Arkadia
8 Coins Silver;Material;0.01; ; ; ;Looted;Planet Arkadia
12 TB Laptop HDD;Electronic Component;0.01; ; ; ;Looted;DSEC-9
A.R.C. Armor Mold (Arm Guards);Armor Component;0.05; ; ; ;Mission;Planet Cyrene
A.R.C. Armor Mold (Boots);Armor Component;0.05; ; ; ;Mission;Planet Cyrene
A.R.C. Armor Mold (Gloves);Armor Component;0.05; ; ; ;Mission;Planet Cyrene
A.R.C. Armor Mold (Harness);Armor Component;0.05; ; ; ;Mission;Planet Cyrene
A.R.C. Armor Mold (Helmet);Armor Component;0.05; ; ; ;Mission;Planet Cyrene
A.R.C. Armor Mold (Leg Guards);Armor Component;0.05; ; ; ;Mission;Planet Cyrene
A.R.C. Armor Mold (Shin Guards);Armor Component;0.05; ; ; ;Mission;Planet Cyrene
A.R.C. HK Mold;Material;0.005; ; ; ;Looted;Planet Cyrene
A.R.C. Wire Harness;Construction Material;0.1; ; ; ;Crafted;Planet Cyrene
Aakas Alloy;Treasure;0.1; ;Aakas Plating;3;Mined;Planet Arkadia
Aakas Plating;Refined Treasure;0.3;115.00%; ; ;Refined;Planet Arkadia
Aakas Texture;Texture Material;0.5;166.00%; ; ;Crafted;Planet Arkadia
Aarkan Pellets;Treasure;0.02;105.00%;Aarkan Polymer;3;Mined, Looted;Planet Arkadia
Aarkan Polymer;Refined Treasure;0.06;104.00%; ; ;Refined;Planet Arkadia
Aarkan Texture;Texture Material;0.15;107.65%; ; ;Crafted;Planet Arkadia
Abomination Blood Vial 1ml;Natural Material; ; ; ; ;Looted;Arkadia Moon
Abomination Blood Vial 2ml;Natural Material; ; ; ; ;Looted;Arkadia Moon
Abomination Blood Vial 3ml;Natural Material; ; ; ; ;Looted;Arkadia Moon
Abomination Blood Vial 5ml;Natural Material; ; ; ; ;Looted;Arkadia Moon
Abomination Blood Vial 8ml;Natural Material; ; ; ; ;Looted;Arkadia Moon
Accelerative Matrix Component 1;Electronic Component;0.3; ; ; ;Looted;Planet Calypso
Accelerative Matrix Component 2;Electronic Component;0.35; ; ; ;Looted;Planet Calypso
Accelerative Matrix Component 3;Electronic Component;0.5; ; ; ;Looted;Planet Calypso
Acetylcholine;Natural Material;0.03; ; ; ;Looted;Next Island
Acidic Jelly Droplet;Material;0.2; ;Acidic Jelly Pristine Element;5;Looted;Planet Cyrene
Acidic Jelly Pristine Element;Natural Material;1; ; ; ;Looted, Refined;Planet Cyrene
Acid Protective Coating;Mechanical Component;0.3; ; ; ;Crafted;Planet Cyrene
Acid Root;Enmatter;0.32;102.00%;Frigulerian Dust;4,2,4,3,4,2,3,2,3;Mined;Planet Arkadia
Actinolite Crystal;Crystal; ; ;Refined Actinolite Crystal;1;Looted;Next Island
Adamite Crystal;Crystal;0.8;119.00%;Refined Adamite Crystal;1;Looted;Next Island
Adaptive Fire Rate Component;Enhancer Component;0.3;108.00%; ; ;Looted;Planet Calypso
Adaptor;Electronic Component;2.2;130.00%; ; ;Crafted;Planet Arkadia
Adjusted Nanites;Natural Material;1; ; ; ;Looted;Planet Arkadia
Adomasite Ingot;Refined Ore;1.8;135.00%; ; ;Refined;Planet Calypso
Adomasite Stone;Ore;0.6; ;Adomasite Ingot;3,3,3,3,3,3;Mined;Planet Arkadia
Adomasite Texture;Texture Material;0.8; ; ; ;Crafted;Entropia Universe
Advanced Adaptive Fuse;Generic Component;0.96; ; ; ;Looted;Planet Calypso
Advanced Cloth Extractor;Texture Extractor;0.01;116.34%; ; ;Looted;Planet Calypso
Advanced Cooling System Unit;Electronic Component;1;700.00%; ; ;Crafted;Planet Calypso
Advanced Electronic Fluid Memory;Generic Component;0.26; ; ; ;Looted;Planet Calypso
Advanced Feedback Panel;Electronic Component;0.17; ; ; ;Crafted;Planet Calypso
Advanced Fluid Energy Source;Robot Component;1; ; ; ;Crafted; 
Advanced Gem Extractor;Texture Extractor;0.01; ; ; ;Looted;Planet Calypso
Advanced Heavy Springs;Mechanical Component;1; ; ; ;Crafted;Planet Calypso
Advanced Leather Extractor;Texture Extractor;0.01;112.08%; ; ;Looted; 
Advanced Matrix;Electronic Component;0.24;200.35%; ; ;Crafted;Planet Calypso
Advanced Metal Extractor;Texture Extractor;0.01; ; ; ;Looted;Planet Calypso
Advanced Mineral Extractor;Texture Extractor;0.01;198.23%; ; ;Looted;Entropia Universe
Advanced Modulator;Electronic Component;0.08; ; ; ;Crafted;Planet Calypso
Advanced Mountings;Metal Component;1.6; ; ; ;Crafted;Planet Calypso
Advanced Optical Wave Emitter;Generic Component;0.89; ; ; ;Looted; 
Advanced Organic Wire;Generic Component;1.03; ; ; ;Looted;Planet Calypso
Advanced Processor;Electronic Component;0.096; ; ; ;Crafted;Planet Calypso
Advanced Scanning Sensor;Generic Component;0.33; ; ; ;Looted;Planet Calypso
Advanced Security Module;Electronic Component;0.211;192.71%; ; ;Crafted;Planet Calypso
Advanced Sinew Adjusted;Material;1;16000.00%;Neoweave Adjusted;1;Looted;Next Island
Advanced Sinew Augmented;Material; ; ;Neoweave Augmented;1;Looted;Ancient Greece
Advanced Sinew Improved;Material;5; ;Neoweave Improved;1,1;Looted;Ancient Greece
Advanced Sinew Modified;Material; ; ;Neoweave Modified;1;Looted;Next Island
Advanced Sinew Perfected;Material; ; ;Neoweave Perfected;1;Looted;Next Island
Advanced Spur Gears 6k;Mechanical Component;1; ; ; ;Crafted;Planet Calypso
Advanced Stone Extractor;Texture Extractor;0.01;115.77%; ; ;Looted;Planet Arkadia
Advanced Strategic Combat Processor;Generic Component;0.21; ; ; ;Looted;Planet Calypso
Advanced Talytic Converters;Metal Component;2.3; ; ; ;Crafted;Planet Calypso
Advanced Target Assessment Unit;Generic Component;0.17;474.60%; ; ;Looted;Planet Calypso
Advanced VisioMem;Electronic Component;0.072; ; ; ;Crafted;Planet Calypso
Advanced Wood Extractor;Texture Extractor;0.01; ; ; ;Looted;Planet Calypso
Adventurine Crystal;Crystal;0.15; ;Refined Adventurine Crystal;1;Looted;Next Island
Aegirine Crystal;Crystal;0.02; ;Refined Aegirine Crystal;1;Looted;Next Island
Aetherex Leather;Refined Material;14.1; ; ; ;Refined;Planet Calypso
Aetherex Leather Texture;Texture Material;1.01; ; ; ;Crafted;Planet Calypso
Aetherex Skin;Natural Material;4.7; ;Aetherex Leather;3;Looted;Planet Calypso
Agate Crystal;Crystal;0.04; ;Refined Agate Crystal;1;Looted;Next Island
Agrellite Crystal;Crystal;0.7; ;Refined Agrellite Crystal;1;Looted;Next Island
AI Basic Chip;Robot Parts;0.0001; ; ; ;Looted;ROCKtropia
Alferix Ingot;Refined Ore;2.85;104.34%; ; ;Refined;Entropia Universe
Alferix Stone;Ore;0.95; ;Alferix Ingot;3,3,3,3,3;Looted, Mined;Next Island
Alferix Texture;Texture Material;1.15; ; ; ;Crafted;Entropia Universe
Alicenies Gel;Refined Enmatter;0.1;103.00%;Haimoros Gel;10,10,10;Refined;Planet Arkadia
Alicenies Liquid;Enmatter;0.05;110.00%;Alicenies Gel;2,2,2;Looted, Mined;Hell
Alien Acid;Natural Material;0.34; ;Alien Biogenic Gel;2,6;Looted;Crystal Palace
Alien Biogenic Gel;Refined Material;0.01;118.00%; ; ;Refined;Crystal Palace
Alien Blood;Natural Material;0.46;105.00%;Alien Biogenic Gel;2,6;Looted;Crystal Palace
Alien Mutant Skull;Natural Material;9.5; ; ; ;Looted;Planet Calypso
Alien Resin Fluid;Natural Material;0.12; ;Alien Biogenic Gel;12,6;Looted;Crystal Palace
Alkar Crystals;Treasure;0.05; ;Alkar Lattice;3;Mined;Planet Arkadia
Alkar Lattice;Refined Treasure;0.15;1300.00%; ; ;Refined;Planet Arkadia
Allophyl DNA Samples;DNA;30.1; ; ; ;Refined;Planet Calypso
Allophyl Fin;DNA;9.8; ; ; ;Looted;Planet Calypso
Allophyl Leather;Refined Material;0.9; ; ; ;Refined;Planet Calypso
Allophyl Leather Texture;Texture Material;0.33; ; ; ;Crafted;Planet Calypso
Allophyl Skin;Natural Material;0.3;125000.00%;Allophyl Leather;3;Looted;Planet Calypso
Allophyl Tentacle;DNA;5.6; ; ; ;Looted;Planet Calypso
Allophyl Thighbone;DNA;7.6; ; ; ;Looted;Planet Calypso
Alloy Hinge;Mechanical Component;1.1;145.00%; ; ;Crafted;Planet Arkadia
Alloy Plate;Metal Component;2.3;115.00%; ; ;Crafted;Planet Arkadia
Alternative Ingot;Refined Ore;0.03;110.00%; ; ;Refined;ROCKtropia
Alternative Rock;Ore;0.01;138.00%;Alternative Ingot;3,3;Mined;Hell
Amazon Arm;Natural Material;0.01; ; ; ;Looted;Ancient Greece
Amazon Hair;Natural Material;0.01; ; ; ;Looted;Ancient Greece
Amazon Helmet;Natural Material;0.02; ; ; ;Looted;Ancient Greece
Amazonite Crystal;Crystal; ; ;Refined Amazonite Crystal;1;Looted;Next Island
Amazon Leg;Natural Material;0.01; ; ; ;Looted;Ancient Greece
Amazon Sandle;Natural Material;0.01; ; ; ;Looted;Ancient Greece
Amazon Wrist Guard;Natural Material;0.03; ; ; ;Looted;Ancient Greece
Amber;Precious Stones;10; ; ; ;Looted;Planet Calypso
Amber Crystal;Crystal;0.02; ;Refined Amber Crystal;1;Looted;Next Island
Ambulimax DNA Samples;DNA;25.45; ; ; ;Refined;Planet Calypso
Ambulimax Hair;DNA;0.45;140000.00%;Ambulimax DNA Samples; ;Looted;Planet Calypso
Ambulimax Leather;Refined Material;12; ; ; ;Refined;Planet Calypso
Ambulimax Leather Texture;Texture Material;1; ; ; ;Crafted;Planet Calypso
Ambulimax Skin;Natural Material;4;104.00%;Ambulimax DNA Samples;3;Looted;Planet Calypso
Ambulimax Thigh Bone;DNA;7; ;Ambulimax DNA Samples; ;Looted;Planet Calypso
American Pirate Flag;Vehicle Component;1; ; ; ;Crafted;ROCKtropia
Amethyst;Precious Stones;50; ; ; ;Looted;Planet Calypso
