Name;Type;Max.TT;Markup
MacMahon Vengeance (L);Laser;255.00;125.00%
MacMahon Vengeance, CDF Edition (L);Laser;1.00; 
Maddox 1;BLP;27.00; 
Maddox 2;BLP;89.00; 
Maddox 3;BLP;105.00; 
Maddox 4;BLP;150.00; 
Maddox 4, Adjusted;BLP;150.00;5500.00 PED
Maddox 4 GDC (L);BLP;212.00;120.00%
MAKO Blizzard 1 (L);Longblades;400.00; 
MAKO Blizzard 2 (L);Longblades;600.00; 
MAKO Blizzard 3 (L);Longblades;800.00; 
MAKO Blizzard, Gold Rush Edition;Longblades;105.00; 
MAKO Dissolver 1 (L);Longblades;520.00; 
MAKO Dissolver 2 (L);Longblades;720.00; 
MAKO Dissolver, Gold Rush Edition;Longblades;135.00; 
MAKO FAL-1 (L);Longblades;15.00; 
MAKO FAL-2 (L);Longblades;50.00; 
MAKO FAL-3 (L);Longblades;85.00; 
MAKO FAL-3 Smuggler;Longblades;800.00; 
MAKO FAL-4 (L);Longblades;120.00;0.00%
MAKO FAL-5 (L);Longblades;155.00;113.00%
MAKO FAL-5 Smuggler;Longblades;1900.00; 
MAKO FAL-TT (L);Longblades;15.00;0.00%
MAKO Lightning 1 (L);Longblades;440.00; 
MAKO Lightning 2 (L);Longblades;640.00; 
MAKO Lightning 3 (L);Longblades;840.00; 
MAKO Lightning, Gold Rush Edition;Longblades;115.00; 
MAKO Lightning Smuggler;Longblades;4700.00; 
MAKO Trainer (L);Longblades;0.15; 
MAKO Wildfire 1 (L);Longblades;480.00;105.00%
MAKO Wildfire 2 (L);Longblades;680.00; 
MAKO Wildfire 3 (L);Longblades;880.00; 
MAKO Wildfire, Gold Rush Edition;Longblades;125.00; 
Mann MPH;Laser;3.50; 
Mann MPH DLx;Laser;6.50; 
Mann MPH DLxE;Laser;34.00; 
Mann MPH DlxEFi;Laser;40.00; 
Mann MPH DlxEGrd;Laser;45.00; 
MANTA Bite 1 (L);Shortblades;390.00; 
MANTA Bite 2 (L);Shortblades;590.00; 
MANTA Chill 1 (L);Shortblades;300.00;2250.00%
MANTA Chill 2 (L);Shortblades;500.00; 
MANTA Chill 3 (L);Shortblades;700.00; 
MANTA Flame 1 (L);Shortblades;360.00; 
MANTA Flame 2 (L);Shortblades;560.00; 
MANTA Flame 3 (L);Shortblades;760.00; 
MANTA K-1 (L);Shortblades;10.00; 
MANTA K-2 (L);Shortblades;30.00; 
MANTA K-3 (L);Shortblades;50.00; 
MANTA K-3 Smuggler;Shortblades;700.00; 
MANTA K-4 (L);Shortblades;70.00; 
MANTA K-5 (L);Shortblades;90.00; 
MANTA K-5 Smuggler;Shortblades;1800.00; 
MANTA K-TT (L);Shortblades;9.00;0.00%
MANTA Strike 1 (L);Shortblades;330.00; 
MANTA Strike 2 (L);Shortblades;530.00; 
MANTA Strike 3 (L);Shortblades;730.00; 
Manticore Deathbringer;Power Fist;28.00; 
Manticore Deathbringer, Mentor Edition;Power Fist;28.00; 
Manuari Stoikow Anti-Materiel Rifle, Prototype (L);BLP;21.00; 
Manuari Stormer Anti-Materiel Rifle, Prototype (L);BLP;14.00; 
Marber BGH Annihilator;Plasma;100.00; 
Marber Bravo-Type Plasma Annihilator;Plasma;80.00; 
Marber Bravo-Type Plasma Annihilator, Adjusted;Plasma;80.00;1000.00 PED
Marber Bravo-Type Plasma Annihilator WOF Edition;Plasma;80.00; 
Marber Echo-Type Plasma Annihilator;Plasma;70.00; 
Marber Echo-Type Plasma Annihilator, SGA Edition;Plasma;70.00; 
Marber Echo-Type Plasma Annihilator Mentor Ed.;Plasma;70.00; 
Marber Foxtrot-Type Plasma Annihilator;Plasma;145.00;250.00 PED
Marber Foxtrot-Type Plasma Annihilator, Mentor Ed.;Plasma;145.00;3500.00 PED
Marber Foxtrot-Type Plasma Annihilator, SGA Edition;Plasma;145.00;300.00 PED
Marber Tango-Type Plasma Annihilator;Plasma;225.00; 
Marber Tango-Type Plasma Annihilator, SGA Edition;Plasma;225.00; 
Marcato-9 Automatic Pistol (L);Laser;11.00;154.00%
Marcato-9 RFZ Automatic Pistol (L);Laser;24.00;230.00%
Marcato-9 Steampunk Automatic Pistol (L);Laser;41.00; 
MarCorp Kallous-1 (L);Laser;19.60;117.00%
MarCorp Kallous-1, CDF Edition (L);Laser;0.40; 
MarCorp Kallous-2 (L);Laser;29.70; 
MarCorp Kallous-2, CDF Edition (L);Laser;0.40; 
MarCorp Kallous-3 (L);Laser;37.00;128.00%
MarCorp Kallous-3, CDF Edition (L);Laser;0.40; 
MarCorp Kallous-4 (L);Laser;43.00; 
MarCorp Kallous-4, CDF Edition (L);Laser;0.40; 
MarCorp Kallous-5 (L);Laser;56.00;128.00%
MarCorp Kallous-5, CDF Edition (L);Laser;0.40; 
MarCorp Kallous-5, E.L.M Edition (L);Laser;1.00;3000.00%
MarCorp Kallous-5, MM Edition (L);Laser;1.00; 
