Name;Type;Max.TT;Price (M);Price (F);Source
1 Over The Knee Socks (C);Underwear;33; ; ;Crafted
ACA/AS Civilian Uniform Arctic Cap;Hats;12; ; ;Crafted
ACA/AS Civilian Uniform Arctic Glasses;Shades;51; ; ;Crafted
ACA/AS Civilian Uniform Arctic Pants;Pants;46; ; ;Crafted
ACA/AS Civilian Uniform Arctic Shirt;Shirt;33; ; ;Crafted
ACA/AS Civilian Uniform Arctic Singlet;Underwear;24; ; ;Crafted
ACA/AS Civilian Uniform Custom Cap (C);Hats;15; ; ;Crafted
ACA/AS Civilian Uniform Custom Pants (C);Pants;48; ; ;Crafted
ACA/AS Civilian Uniform Custom Shirt (C);Shirt;35; ; ;Crafted
ACA/AS Civilian Uniform Custom Singlet (C);Shirt;26; ; ;Crafted
ACA/AS Civilian Uniform Desert Cap;Hats;12; ; ;Crafted
ACA/AS Civilian Uniform Desert Glasses;Shades;51; ; ;Crafted
ACA/AS Civilian Uniform Desert Singlet;Underwear;24; ; ;Crafted
ACA/AS Civilian Uniform Jungle Cap;Hats;12; ; ;Crafted
ACA/AS Civilian Uniform Jungle Glasses;Shades;51; ; ;Crafted
ACA/AS Civilian Uniform Jungle Pants;Pants;46; ; ;Crafted
ACA/AS Civilian Uniform Jungle Shirt;Shirt;33; ; ;Crafted
ACA/AS Civilian Uniform Jungle Singlet;Underwear;24; ; ;Crafted
Adrees Shoes (F,C);Shoes;7.5; ; ;Crafted
AFK Trucker Hat (C);Hats;35; ; ;Crafted
Anarchy Sexy Top (C);Shirt; ; ; ;Crafted
Angelic ROCK T-Shirt (C);Shirt;10; ; ;Crafted
Angelic Wings;Wings;1; ; ;Xmas Gift 2008
Angel Micro Skirt (F,C);Skirt;43; ; ;Crafted
Arctic Boots (L);Boots;0.1; ; ;Mission
Arctic Combat Parka (L);Jackets;0.1; ; ;Mission
Arctic Snow Pants (L);Pants;0.1; ; ;Mission
Arctic Trenchers;Boots;80.5; ; ;Crafted
Arkadia Adviser Vest;Jackets; ; ; ;Arkadia Studios
Arkadia Elf Hat;Hats;0.2; ; ;Xmas Gift 2012
Ark Formal Pants - Black (M);Pants;32;75.00 PED; ;Crafted
Ark Formal Pants - Blue (M);Pants;32; ; ;Crafted
Ark Formal Pants - Gray (M);Pants;32; ; ;Crafted
Ark Formal Shoes (M);Shoes;35; ; ;Crafted
Ark Formal Tuxedo - Black (M); ; ; ; ;Crafted
Ark Formal Tuxedo - Blue (M); ; ; ; ;Crafted
Ark Formal Tuxedo - Gray (M); ; ; ; ;Crafted
Ark Urban Jacket;Jackets;10; ; ;Arkoin Broker
Ark Urban Pants;Pants;10; ; ;Arkoin Broker
Asclarias Backpack;Backpack;1; ; ;Xmas Gift 2020
Athenian Head Scarf (C);Hats;5; ; ;Crafted
Athenian Tunic (C);Coats;5; ; ;Crafted
Autumn Batik Shirt;Shirt;1; ; ;Gift
B.A.M.F Trucker Hat (C);Hats;200; ; ;Crafted
Basic Pattern Pants (C);Pants;7; ; ;Crafted
Basic Pattern Shirt (C);Shirt;7; ; ;Crafted
Bat Wings;Wings;1; ; ;Halloween Gift 2008
Beach Shorts (C);Shorts;74; ; ;Crafted
Berlin Jacket (C);Jackets;153; ; ;Crafted
Birdie Trucker Hat (C);Hats;51; ; ;Crafted
Bodystocking (F, C);Underwear;57; ; ;Looted
Boheme Pants (C);Pants; ; ; ;Crafted
Bond Tuxedo;Jackets;189; ; ; 
Bono Shades (C);Shades;150; ; ;Crafted
Boots of Turrelia;Boots;10; ; ;Mission
BUSEY Trucker Cap (C);Hats;130; ; ;Crafted
Bustier (C);Underwear;57; ; ;Crafted
Butterfly Beauty Sexy Top (C);Shirt;61; ; ;Crafted
Butterfly Sexy Top;Shirt; ; ; ;Crafted
Buying Trucker Cap (M/F)(C); ; ; ; ;Crafted
Buying Trucker Hat (C);Hats;200; ; ;Crafted
Cadet Cowboy Boots (C);Boots;78; ; ;Crafted
Cadet Jacket (C);Jackets;55; ; ;Crafted
Cadet Pants (C);Pants;59; ; ;Crafted
Calypso Elf Shoes;Shoes;1; ; ;Xmas Gift 2009
Camo Sexy Top (C);Shirt;160; ; ;Crafted
Camo Trucker Hat (C);Hats;150; ; ;Crafted
Carapace Black Boots;Boots;54; ; ;Crafted
Carapace Blue Boots;Boots;54; ; ;Crafted
Carapace Boots;Boots;0.2; ; ;Mission
Carapace Pants;Pants;0.2; ; ;Mission
Carapace Red Boots;Boots;54; ; ;Crafted
Carapace White Boots;Boots;54; ; ;Crafted
Catre Shoes (C);Shoes;59; ; ;Crafted
Cat's ears;Ears;0.25; ; ;Exclusive Dev Gift
Chili Sombrero (C);Hats;92; ; ;Crafted
Chiton;Coats;5; ; ; 
Christmas Googly Eyes;Shades;0.01; ; ;Gift
Christmas Sweater;Shirt;0.2; ; ;Xmas Gift 2016
Classic Ancient Greece Dress (F);Dresses;22; ; ;Crafted
Classic Ancient Greece Shoes (F);Shoes;22; ; ;Crafted
CND Live Trucker Hat (C);Hats;35; ; ;Crafted
Coat of the Proving Grounds;Coats;5; ; ;Token Exchange
Coat of Turrelia;Coats;30; ; ;Mission
Cognac Coat (C);Coats;209; ; ;Crafted
Colonist Blue Issue Jumpsuit;Jumpsuit;0.1; ; ;Mission
Colonist Gray Issue Jumpsuit;Jumpsuit;0.1; ; ;Mission
Colonist Green Issue Jumpsuit;Jumpsuit;0.1; ; ;Mission
Colonist Military Green Issue Jumpsuit;Jumpsuit;0.1; ; ;Mission
Colonist 'Picture' Jumper Event Issue;Shirt;1; ; ;Event
Colonist 'Picture' Slacks Event Issue;Slacks;1; ; ;Event
Colonist 'PvP' Jumper Event Issue;Shirt;1; ; ;Event
Colonist 'PvP' Slacks Event Issue;Pants;1; ; ;Event
Colonist Red Issue Jumpsuit;Jumpsuit;0.1; ; ;Mission
Colonist 'Riddle' Jumper Event Issue;Shirt;1; ; ;Event
Colonist 'Riddle' Slacks Event Issue;Slacks;1; ; ;Event
Colonist 'Search and Find' Jumper Event Issue;Shirt;1; ; ;Event
Colonist 'Search and Find' Slacks Ev;Pants;1; ; ;Event
Colonist Standard Issue Cap;Hats;1; ; ;Mission
Colonist Standard Issue Jumper;Shirt;1; ; ;Avatar
Colonist Standard Issue Jumpsuit;Jumpsuit;0.01; ; ;Avatar
Colonist Standard Issue Slacks;Pants;1; ; ;Avatar
Colonist 'Teleport Run Jumper' Event Issue;Shirt;1; ; ;Event
Colonist 'Teleport Run Slacks' Event Issue;Pants;1; ; ;Event
Colonist White Issue Jumpsuit;Jumpsuit;0.1; ; ;Mission
Crude Nails (C);Other;24; ; ;Unknown
Crunk Trucker Hat (C);Hats;20;0.60 PED; ;Looted
Dark Divinity Dominator Bra;Underwear;30; ; ;Old time
Dark Divinity Dominator Panties;Underwear;30; ; ;Old time
Dark Divinity Dominator Panties, FEN Edition;Underwear;15; ; ;Looted, Event
Dark Divinity Dominion Miniskirt;Skirt;9.95; ; ;Old time
Dark Divinity Dominion Miniskirt, FEN Edition;Skirt;15; ; ;Looted, Event
Dark Divinity Nightspot Shoes;Shoes;10; ; ;Old time
Dark Divinity Nightspot Shoes, FEN Edition;Shoes;15; ; ;Looted, Event
Dark Travellers Hood (M);Hats;40; ; ;Crafted
Dark Travellers Robe (M);Coats;60; ; ;Crafted
Deluxe Bustier (F,C);Underwear;57; ;30.00 PED;Looted
Desert Trenchers;Boots;76.5; ; ;Crafted
Dino Shoes (C);Shoes;33; ; ;Crafted
Direct Miniskirt (C);Skirt;78; ; ;Crafted
Distorted Peace ROCK T-Shirt (C);Shirt;15; ; ;Crafted
Distorted Peace Sexy Top (C);Shirt;20; ; ;Crafted
Dominator Coat;Coats; ; ; ;Crafted
Droplet Skirt (C);Skirt;73; ; ;Crafted
Duster Courier Jacket;Jackets;34; ; ; 
Eden Micro Skirt (C);Skirt;51; ; ;Crafted
Elder Coat (M,C);Coats;7.5; ; ;Crafted
Ellen Evening Gown (C);Dresses; ; ; ;Crafted
Elysians' Tropical Top (C);Shirt;1.6; ; ;Crafted
Embossed Cyrene Shirt;Shirt;5; ; ;Crafted
Enigma Bra (C);Underwear;32; ; ;Crafted
Essi Evening Gown (C);Dresses;193; ; ;Crafted
Evelyn Cocktail Dress (C);Dresses;73; ; ;Crafted
Evening Gown; ; ; ; ;Crafted
Evil Skull Facemask;Hats;1; ; ;Halloween Gift 2007
Faris Jeans (M,C);Pants;7.5; ; ;Crafted
Febe Evening Gown (C);Dresses;210; ; ;Crafted
