Name;Armor;Max.TT;Mar. (M);Mar. (F);Found on
Eon Harness (L);Eon (L);300; ; ;Planet Calypso
Eon Harness, SGA Edition;Eon, SGA Edition;300; ; ;Planet Calypso
Eon Helmet;Eon;170;13000.00 PED; ;Planet Calypso
Eon Helmet (L);Eon (L);170; ; ;Planet Calypso
Eon Helmet, SGA Edition;Eon, SGA Edition;170; ; ;Planet Calypso
Eon Shin Guards;Eon;205; ; ;Planet Calypso
Eon Shin Guards (L);Eon (L);205; ; ;Planet Calypso
Eon Shin Guards, SGA Edition;Eon, SGA Edition;205; ; ;Planet Calypso
Eon Thigh Guards;Eon;220;18300.00 PED;12800.00 PED;Planet Calypso
Eon Thigh Guards (L);Eon (L);220; ; ;Planet Calypso
Eon Thigh Guards, SGA Edition;Eon, SGA Edition;220; ; ;Planet Calypso
Ethereal Armor Arm Guards;Ethereal Armor;128; ; ;Entropia Universe
Ethereal Armor Face Mask;Ethereal Armor;112; ; ;Entropia Universe
Ethereal Armor Foot Guards;Ethereal Armor;72; ; ;Entropia Universe
Ethereal Armor Gloves;Ethereal Armor;72; ; ;Entropia Universe
Ethereal Armor Harness;Ethereal Armor;176; ; ;Entropia Universe
Ethereal Armor Shin Guards;Ethereal Armor;112; ; ;Entropia Universe
Ethereal Armor Thigh Guards;Ethereal Armor;128; ; ;Entropia Universe
Expedition Arm Guards;Expedition;23; ; ;Planet Calypso
Expedition Foot Guards;Expedition;21; ; ;Planet Calypso
Expedition Gloves;Expedition;21; ; ;Planet Calypso
Expedition Harness;Expedition;41; ; ;Planet Calypso
Expedition Helmet;Expedition;20; ; ;Planet Calypso
Expedition Shin Guards;Expedition;21; ; ;Planet Calypso
Expedition Thigh Guards;Expedition;24; ; ;Planet Calypso
Explorer Arm Guards;Explorer;9.4; ; ;Planet Calypso
Explorer Face Guard;Explorer;4.7; ; ;Planet Calypso
Explorer Foot Guards;Explorer;4.7; ; ;Planet Calypso
Explorer Gloves;Explorer;4.7; ; ;Planet Calypso
Explorer Harness;Explorer;14.1; ; ;Planet Calypso
Explorer Shin Guards;Explorer;4.7; ; ;Planet Calypso
Explorer Thigh Guards;Explorer;9.4; ; ;Planet Calypso
Firewall Arm Guards (L);Firewall (L);18; ; ;ROCKtropia
Firewall Foot Guards (L);Firewall (L);14; ; ;ROCKtropia
Firewall Gloves (L);Firewall (L);21; ; ;ROCKtropia
Firewall Harness (L);Firewall (L);23.5; ; ;ROCKtropia
Firewall Harness Mk-II;Firewall Mk-II;45.5; ; ;ROCKtropia
Firewall Helmet (L);Firewall (L);15;0.00%; ;ROCKtropia
Firewall Mk-II Arm Guards (L);Firewall Mk-II (L);36; ; ;ROCKtropia
Firewall Mk-II Foot Guards (L);Firewall Mk-II (L);30; ; ;ROCKtropia
Firewall Mk-II Gloves (L);Firewall Mk-II (L);32; ; ;ROCKtropia
Firewall Mk-II Harness (L);Firewall Mk-II (L);45.5; ; ;ROCKtropia
Firewall Mk-II Helmet (L);Firewall Mk-II (L);35; ; ;ROCKtropia
Firewall Mk-III Arm Guards (L);Firewall Mk-III (L);78; ; ;ROCKtropia
Firewall Mk-III Foot Guards (L);Firewall Mk-III (L);65; ; ;ROCKtropia
Firewall Mk-III Gloves (L);Firewall Mk-III (L);62; ; ;ROCKtropia
Firewall Mk-III Harness (L);Firewall Mk-III (L);85.5; ; ;ROCKtropia
Firewall Mk-III Helmet (L);Firewall Mk-III (L);70; ; ;ROCKtropia
Firewall Mk-III Shin Guards (L);Firewall Mk-III (L);60; ; ;ROCKtropia
Firewall Mk-III Thigh Guards (L);Firewall Mk-III (L);75; ; ;ROCKtropia
Firewall Mk-II Shin Guards (L);Firewall Mk-II (L);31; ; ;ROCKtropia
Firewall Mk-II Thigh Guards (L);Firewall Mk-II (L);38; ; ;ROCKtropia
Firewall Shin Guards (L);Firewall (L);16; ; ;ROCKtropia
Firewall Thigh Guards (L);Firewall (L);22; ; ;ROCKtropia
Foot Guards of the Wormslayer;Wormslayer;88; ; ;Planet Calypso
Ghost Arm Guards;Ghost;45; ; ;Planet Calypso
Ghost Arm Guards (L);Ghost (L);45;250.00%; ;Planet Calypso
Ghost Face Mask;Ghost;48; ; ;Planet Calypso
Ghost Face Mask (L);Ghost (L);48;250.00%; ;Planet Calypso
Ghost Foot Guards;Ghost;46; ; ;Planet Calypso
Ghost Foot Guards (L);Ghost (L);46; ; ;Planet Calypso
Ghost Gloves;Ghost;46; ; ;Planet Calypso
Ghost Gloves (L);Ghost (L);46;250.00%; ;Planet Calypso
Ghost Harness;Ghost;74; ; ;Planet Calypso
Ghost Harness (L);Ghost (L);74; ; ;Planet Calypso
Ghost Shin Guards;Ghost;44; ; ;Planet Calypso
Ghost Shin Guards (L);Ghost (L);44;250.00%; ;Planet Calypso
Ghost Thigh Guards;Ghost;45; ; ;Planet Calypso
Ghost Thigh Guards (L);Ghost (L);45; ; ;Planet Calypso
Ghoul Arm Guards;Ghoul;62;1070.00 PED;399.36 PED;Planet Calypso
Ghoul Face Mask;Ghoul;60; ; ;Planet Calypso
Ghoul Foot Guards;Ghoul;64;1700.00 PED; ;Planet Calypso
Ghoul Gloves;Ghoul;64;940.00 PED;200.00 PED;Planet Calypso
Ghoul Harness;Ghoul;112;2111.00 PED;299.08 PED;Planet Calypso
Ghoul Shin Guards;Ghoul;56;1103.00 PED;399.84 PED;Planet Calypso
Ghoul Thigh Guards;Ghoul;56;870.00 PED;300.00 PED;Planet Calypso
Gloves of the Wormslayer;Wormslayer;88; ; ;Planet Calypso
Gnome Arm Guards;Gnome;4; ; ;Planet Calypso
Gnome Face Mask;Gnome;3.99; ; ;Planet Calypso
Gnome Foot Guards;Gnome;3.8; ; ;Planet Calypso
Gnome Gloves;Gnome;3.8; ; ;Planet Calypso
Gnome Harness;Gnome;4.9; ; ;Planet Calypso
Gnome Shin Guards;Gnome;3.84; ; ;Planet Calypso
Gnome Thigh Guards;Gnome;3.85; ; ;Planet Calypso
Goblin Arm Guards;Goblin;5.9; ; ;Planet Calypso
Goblin Arm Guards, SGA Edition;Goblin, SGA Edition;5.9; ; ;Planet Calypso
Goblin Face Guard;Goblin;3.7; ; ;Planet Calypso
Goblin Face Guard, SGA Edition;Goblin, SGA Edition;3.7; ; ;Planet Calypso
Goblin Foot Guards;Goblin;3.56; ; ;Planet Calypso
Goblin Foot Guards, SGA Edition;Goblin, SGA Edition;3.56; ; ;Planet Calypso
Goblin Gloves;Goblin;3.56; ; ;Planet Calypso
Goblin Gloves, SGA Edition;Goblin, SGA Edition;3.56; ; ;Planet Calypso
Goblin Harness;Goblin;8; ; ;Planet Calypso
Goblin Harness, SGA Edition;Goblin, SGA Edition;8; ; ;Planet Calypso
Goblin Shin Guards;Goblin;5.87; ; ;Planet Calypso
Goblin Shin Guards, SGA Edition;Goblin, SGA Edition;5.87; ; ;Planet Calypso
Goblin Thigh Guards;Goblin;6.1; ; ;Planet Calypso
