Name;Type;Max.TT;Markup
Prosecutor M76 Turbo (L);BLP; ; 
Prototype MAKO Smuggler;Longblades;50.00; 
Prototype Rocket Launcher XXX (L);Rocket;214.00; 
Pure White Star Stunna (L);BLP;25.00; 
Pure White Sticky Laucher (L);Grenade;25.00; 
Pure White Turrelion Spec Flamebather (L);BLP;25.00; 
Pure White Xent Tech Freeze Ray (L);BLP;25.00; 
Purple Poison Sticky Laucher (L);Grenade;25.00; 
Qataal GutOpen (L);Longblades;80.00; 
Qataal SlayWay (L);Longblades;100.00; 
Queen's Sceptre;Clubs;213.00; 
Ranked Combat Knife;Shortblades;700.00; 
Ranked FlameThrower;BLP;150.00;13000.00 PED
Ranked HK1750;Laser;125.00;9000.00 PED
Ranked Psy-Blade;Power Fist;950.00; 
Ranked Psy-Sword;Longblades;1250.00; 
Ranked Scorpion;Laser;125.00; 
Ravenger Mini-Sweeper V1;BLP;130.00;5000.00 PED
Ravenger Mini-Sweeper V1, Adjusted;BLP;600.00; 
Ravenger Mini-Sweeper V1, Adjusted, SGA Edition;BLP;600.00; 
Ravenger Mini-Sweeper V1, Adjusted, TWEN Edition;BLP;600.00; 
Ravenger Mini-Sweeper V2;BLP;200.00;2600.00 PED
Ravenger Mini-Sweeper V3, Improved (L);BLP;42.00; 
RayGun (L);Laser;3.00; 
RDI Combat EnBlade-10;Longblades;500.00; 
RDI Combat EnBlade-Mayhem;Longblades;500.00; 
RDI Survival EnBlade-10;Shortblades;500.00; 
Red Scorpion (L);Laser;375.00; 
Redstar Smasher Alpha (L);Clubs;80.00; 
Redstar Smasher Gamma (L);Clubs; ; 
Redux ZK1 (L);BLP;11.00; 
Redux ZK2 (L);BLP;19.50; 
RepEdge Battle Axe 1x0;Axes;7.00;200.00 PED
RepEdge Battle Axe 1x0, SGA Edition;Axes;7.00;3000.00 PED
RepEdge Battle Axe 2x0;Axes;28.00;46.00 PED
RepEdge Battle Axe 2x0, SGA Edition;Axes;28.00;3500.00 PED
RepEdge Battle Axe 3x0;Axes;87.00; 
RepEdge Battle Axe 3x0, SGA Edition;Axes;87.00; 
RepEdge Battle Axe 4x0;Axes;102.00; 
RepEdge Battle Axe 4x0, SGA Edition;Axes;102.00; 
RepEdge Battle Axe 5x0;Axes;189.00; 
Researchers' Knife (L);Shortblades;34.00; 
Riker UL1;Laser;2854.00; 
Riker UL1 (L);Laser;72.10; 
Riker UL2;Laser;3646.00; 
Riker UL2 (L);Laser;98.80; 
Riker UL3;Laser;4240.00; 
Riker UL3 (L);Laser;135.00; 
Riker UL3, Modified (L);Laser;4344.00; 
Rip M6600 (L);Laser;468.00; 
Rip M6600, Adjusted;Laser;20304.00; 
Rip M6600, Improved (L);Laser;2579.00; 
Rip M6600, Modified;Laser;19802.00; 
RIP M770 (L);Laser;240.00; 
RIP M7700 CDF Edition (L);Laser;1.00; 
RMG Diplomat 1 (L);BLP;29.00; 
RMG Diplomat 4 (L);BLP;69.50; 
RMG Diplomat 5 (L);BLP;83.00; 
Road Crew Axe;Axes;9.00;0.00 PED
Road Crew Axe (L);Axes;9.00;933.00%
Road Crew Axe (L) Classic;Axes;39.00; 
Road Crew Axe (L) Custom;Axes;31.00; 
Road Crew Axe (L) Legendary;Axes;63.00; 
Rock n Roll Axe (L);Axes;58.00; 
Rock n Roll Axe (L) Brutal;Axes;79.50;1238.00%
Rusty Pirates Pistol (L);BLP;37.00; 
Rusty Shank 4 (L);Shortblades;86.00; 
Rusty Shank 5 (L);Shortblades;121.00; 
Rusty Shank 6 (L);Shortblades;138.00; 
Rusty Shank (L);Shortblades;24.00; 
Rutic Bett;Longblades;10496.00; 
Rutic Bett (L);Longblades;1590.00; 
Rutic Blix (L);Longblades;1430.00; 
Rutic Kil (L);Longblades;1030.00;113.86%
Rutic Slo;Longblades;2576.00; 
Rutic Slo (L);Longblades;590.00;106.22%
S & B Ardenner 0 (L);BLP;11.00; 
S & B Ardenner 2 (L);BLP;19.50; 
S & B Ardenner 3 (L);BLP;25.00; 
S & B Ardenner 4 (L);BLP;32.00;110.00%
S & B Ardenner 6 (L);BLP;40.00; 
S & B Ardenner 8 (L);BLP;51.00;105.00%
S & B Ardenner 10 (L);BLP;56.00;105.20%
S & B Ardenner 13 (L);BLP;65.00; 
S & B Ardenner 16 (L);BLP;74.00;105.40%
S & B Ardenner 20 (L);BLP;82.50; 
S & B Ardenner 25 (L);BLP;102.00;106.80%
S & B Ardenner 28;BLP; ; 
S & B Ardenner 30 (L);BLP;110.00; 
S & B Ardenner 36;BLP;110.00; 
S & B Ardenner 36 (L);BLP;65.00;122.00%
S & B Ardenner 40;BLP; ; 
S & B Ardenner 42 (L);BLP;70.00;115.60%
S & B Ardenner 48 (L);BLP;81.00; 
S & B Ardenner 54 (L);BLP;96.00;128.53%
S & B Ardenner 55;BLP;96.00; 
S & B  Ardenner 60 (L);BLP;112.00; 
S & B Fractal Katana 35 (L);Longblades;425.00; 
S & B Fractal Katana 40 (L);Longblades;460.00; 
